"TenQue","Hao1","Hao2","Hao3","TenQueKinhDich","NapGiapH1","NapGiapH2","NapGiapH3","NapGiapH4","NapGiapH5","NapGiapH6","SoQueTienThien","SoQueHauThien"
"Càn","1","1","1","Thiên","Tý","Dần","Thìn","Ngọ","Thân","Tuất","1","7"
"Đoài","1","1","0","Trạch","Tỵ","Mão","Sửu","Hợi","Dậu","Mùi","2","6"
"Ly","1","0","1","Hỏa","Mão","Sửu","Hợi","Dậu","Mùi","Tỵ","3","1"
"Chấn","1","0","0","Lôi","Tý","Dần","Thìn","Ngọ","Thân","Tuất","4","3"
"Tốn","0","1","1","Phong","Sửu","Hợi","Dậu","Mùi","Tỵ","Mão","5","2"
"Khảm","0","1","0","Thủy","Dần","Thìn","Ngọ","Thân","Tuất","Tý","6","8"
"Cấn","0","0","1","Sơn","Thìn","Ngọ","Thân","Tuất","Tý","Dần","7","4"
"Khôn","0","0","0","Địa","Mùi","Tỵ","Mão","Sửu","Hợi","Dậu","8","5"
